geneName,module,module.char,mod.color,gene_biotype,hgnc_symbol
ENSG00000158485,module_P337_EOS_01,01,turquoise,protein_coding,CD1B
ENSG00000158481,module_P337_EOS_01,01,turquoise,protein_coding,CD1C
ENSG00000072694,module_P337_PMN_01,01,turquoise,protein_coding,FCGR2B
ENSG00000072694,module_P337_EOS_01,01,turquoise,protein_coding,FCGR2B
ENSG00000108691,module_P337_PMN_01,01,turquoise,protein_coding,CCL2
ENSG00000108691,module_P337_EOS_01,01,turquoise,protein_coding,CCL2
ENSG00000104921,module_P337_PMN_01,01,turquoise,protein_coding,FCER2
ENSG00000104921,module_P337_EOS_01,01,turquoise,protein_coding,FCER2
ENSG00000166428,module_P337_EOS_01,01,turquoise,protein_coding,PLD4
ENSG00000132514,module_P337_PMN_01,01,turquoise,protein_coding,CLEC10A
ENSG00000132514,module_P337_EOS_01,01,turquoise,protein_coding,CLEC10A
ENSG00000116990,module_P337_PMN_01,01,turquoise,protein_coding,MYCL
ENSG00000116990,module_P337_EOS_01,01,turquoise,protein_coding,MYCL
ENSG00000105205,module_P337_EOS_01,01,turquoise,protein_coding,CLC
ENSG00000184221,module_P337_EOS_01,01,turquoise,protein_coding,OLIG1
ENSG00000102970,module_P337_EOS_01,01,turquoise,protein_coding,CCL17
ENSG00000169508,module_P337_PMN_01,01,turquoise,protein_coding,GPR183
ENSG00000169508,module_P337_EOS_01,01,turquoise,protein_coding,GPR183
ENSG00000007968,module_P337_EOS_08,08,pink,protein_coding,E2F2
ENSG00000180767,module_P337_PMN_01,01,turquoise,protein_coding,CHST13
ENSG00000180767,module_P337_EOS_01,01,turquoise,protein_coding,CHST13
ENSG00000183134,module_P337_EOS_01,01,turquoise,protein_coding,PTGDR2
ENSG00000182054,module_P337_PMN_01,01,turquoise,protein_coding,IDH2
ENSG00000182054,module_P337_EOS_05,05,green,protein_coding,IDH2
ENSG00000151651,module_P337_EOS_01,01,turquoise,protein_coding,ADAM8
ENSG00000179639,module_P337_EOS_01,01,turquoise,protein_coding,FCER1A
ENSG00000102879,module_P337_PMN_01,01,turquoise,protein_coding,CORO1A
ENSG00000102879,module_P337_EOS_01,01,turquoise,protein_coding,CORO1A
ENSG00000276231,module_P337_EOS_01,01,turquoise,protein_coding,PIK3R6
