geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000000003,5,protein_coding,TSPAN6,05,green
ENSG00000002726,0,protein_coding,AOC1,00,grey
ENSG00000002834,6,protein_coding,LASP1,06,red
ENSG00000003402,5,protein_coding,CFLAR,05,green
ENSG00000003756,1,protein_coding,RBM5,01,turquoise
ENSG00000004142,7,protein_coding,POLDIP2,07,black
ENSG00000004455,8,protein_coding,AK2,08,pink
ENSG00000004468,3,protein_coding,CD38,03,brown
ENSG00000004766,2,protein_coding,CCDC132,02,blue
ENSG00000005075,2,protein_coding,POLR2J,02,blue
ENSG00000005108,3,protein_coding,THSD7A,03,brown
ENSG00000005194,9,protein_coding,CIAPIN1,09,magenta
ENSG00000005243,7,protein_coding,COPZ2,07,black
ENSG00000005483,1,protein_coding,KMT2E,01,turquoise
ENSG00000006042,0,protein_coding,TMEM98,00,grey
ENSG00000006125,8,protein_coding,AP2B1,08,pink
ENSG00000006210,3,protein_coding,CX3CL1,03,brown
ENSG00000006606,8,protein_coding,CCL26,08,pink
ENSG00000006625,2,protein_coding,GGCT,02,blue
ENSG00000006634,2,protein_coding,DBF4,02,blue
ENSG00000006831,1,protein_coding,ADIPOR2,01,turquoise
ENSG00000006837,5,protein_coding,CDKL3,05,green
ENSG00000007038,4,protein_coding,PRSS21,04,yellow
ENSG00000007062,5,protein_coding,PROM1,05,green
ENSG00000007174,3,protein_coding,DNAH9,03,brown
ENSG00000007202,6,protein_coding,KIAA0100,06,red
ENSG00000007384,7,protein_coding,RHBDF1,07,black
ENSG00000007968,9,protein_coding,E2F2,09,magenta
ENSG00000008405,2,protein_coding,CRY1,02,blue
ENSG00000008438,11,protein_coding,PGLYRP1,11,greenyellow
ENSG00000008441,1,protein_coding,NFIX,01,turquoise
ENSG00000009694,0,protein_coding,TENM1,00,grey
ENSG00000009780,5,protein_coding,FAM76A,05,green
ENSG00000009954,1,protein_coding,BAZ1B,01,turquoise
ENSG00000010017,1,protein_coding,RANBP9,01,turquoise
ENSG00000010671,4,protein_coding,BTK,04,yellow
ENSG00000011009,7,protein_coding,LYPLA2,07,black
ENSG00000011021,1,protein_coding,CLCN6,01,turquoise
ENSG00000011198,0,protein_coding,ABHD5,00,grey
ENSG00000011304,7,protein_coding,PTBP1,07,black
ENSG00000011426,2,protein_coding,ANLN,02,blue
ENSG00000011523,3,protein_coding,CEP68,03,brown
ENSG00000013275,8,protein_coding,PSMC4,08,pink
ENSG00000013306,8,protein_coding,SLC25A39,08,pink
ENSG00000013364,8,protein_coding,MVP,08,pink
ENSG00000013375,8,protein_coding,PGM3,08,pink
ENSG00000013810,9,protein_coding,TACC3,09,magenta
ENSG00000014164,6,protein_coding,ZC3H3,06,red
ENSG00000015285,11,protein_coding,WAS,11,greenyellow
ENSG00000015475,4,protein_coding,BID,04,yellow
ENSG00000015520,1,protein_coding,NPC1L1,01,turquoise
ENSG00000016391,11,protein_coding,CHDH,11,greenyellow
ENSG00000017260,2,protein_coding,ATP2C1,02,blue
ENSG00000017483,6,protein_coding,SLC38A5,06,red
ENSG00000018510,2,protein_coding,AGPS,02,blue
ENSG00000019186,3,protein_coding,CYP24A1,03,brown
ENSG00000022840,2,protein_coding,RNF10,02,blue
ENSG00000023191,7,protein_coding,RNH1,07,black
ENSG00000023330,4,protein_coding,ALAS1,04,yellow
ENSG00000023445,0,protein_coding,BIRC3,00,grey
ENSG00000024048,3,protein_coding,UBR2,03,brown
ENSG00000024526,6,protein_coding,DEPDC1,06,red
ENSG00000024862,5,protein_coding,CCDC28A,05,green
ENSG00000025039,2,protein_coding,RRAGD,02,blue
ENSG00000026036,0,protein_coding,RTEL1-TNFRSF6B,00,grey
ENSG00000026508,11,protein_coding,CD44,11,greenyellow
ENSG00000028528,4,protein_coding,SNX1,04,yellow
ENSG00000029153,8,protein_coding,ARNTL2,08,pink
ENSG00000029363,0,protein_coding,BCLAF1,00,grey
ENSG00000029993,9,protein_coding,HMGB3,09,magenta
ENSG00000032219,5,protein_coding,ARID4A,05,green
ENSG00000032444,6,protein_coding,PNPLA6,06,red
ENSG00000033100,6,protein_coding,CHPF2,06,red
ENSG00000033627,6,protein_coding,ATP6V0A1,06,red
ENSG00000035499,6,protein_coding,DEPDC1B,06,red
ENSG00000037042,1,protein_coding,TUBG2,01,turquoise
ENSG00000037897,2,protein_coding,METTL1,02,blue
ENSG00000038219,1,protein_coding,BOD1L1,01,turquoise
ENSG00000039139,1,protein_coding,DNAH5,01,turquoise
ENSG00000039319,3,protein_coding,ZFYVE16,03,brown
ENSG00000041982,8,protein_coding,TNC,08,pink
ENSG00000042493,4,protein_coding,CAPG,04,yellow
ENSG00000042753,4,protein_coding,AP2S1,04,yellow
ENSG00000042832,0,protein_coding,TG,00,grey
ENSG00000044459,10,protein_coding,CNTLN,10,purple
ENSG00000044574,10,protein_coding,HSPA5,10,purple
ENSG00000047410,0,protein_coding,TPR,00,grey
ENSG00000048405,1,protein_coding,ZNF800,01,turquoise
ENSG00000049089,3,protein_coding,COL9A2,03,brown
ENSG00000049246,3,protein_coding,PER3,03,brown
ENSG00000049541,8,protein_coding,RFC2,08,pink
