row,cluster
CDCP1,cluster3
TMEM173,cluster3
CASP1,cluster3
PEX19,cluster3
INHBA,cluster3
DENND5A,cluster3
PGM1,cluster3
TANC2,cluster3
GPATCH2,cluster3
TMEM74B,cluster3
DECR1,cluster3
ALOX5,cluster3
GAA,cluster3
GRINA,cluster3
SLC11A1,cluster3
ADAMTSL4,cluster3
LTA4H,cluster3
BHLHE41,cluster3
ARL4A,cluster3
CXCL3,cluster3
CXCL2,cluster3
HBEGF,cluster3
AMIGO2,cluster3
THBD,cluster3
NAT9,cluster3
FCGR3A,cluster3
ARHGEF10L,cluster3
APLP2,cluster3
PARP14,cluster3
OAS3,cluster3
TMBIM1,cluster3
TMEM150A,cluster3
SLC7A7,cluster3
VSIG4,cluster3
MAP4,cluster3
THEMIS2,cluster3
NUCB1,cluster3
CYB5R3,cluster3
CXCL16,cluster3
TRPV2,cluster3
CYP27A1,cluster3
STAT6,cluster3
PEX5,cluster3
APOL6,cluster3
DECR2,cluster3
SLIT3,cluster3
TNFAIP2,cluster3
ITGAL,cluster3
ARHGEF11,cluster3
VASH1,cluster3
PYGB,cluster3
PLXNB2,cluster3
PLD2,cluster3
SESN2,cluster3
PDE1B,cluster3
NTRK3,cluster3
ZSCAN5A,cluster3
GGA2,cluster3
SCD,cluster3
CRAT,cluster3
ITGB5,cluster3
SLCO2B1,cluster3
KDM1A,cluster3
ANO10,cluster3
TRIM44,cluster3
NSMCE4A,cluster3
PSD3,cluster3
DUSP10,cluster3
DBR1,cluster3
GPATCH11,cluster3
RBMS2,cluster3
ARHGEF28,cluster3
ALDH3A2,cluster3
OCRL,cluster3
DOCK1,cluster3
SCP2,cluster3
MAN1A1,cluster3
PDCL,cluster3
HIBADH,cluster3
TEX2,cluster3
TARBP1,cluster3
AAK1,cluster3
SLC47A1,cluster3
KIF16B,cluster3
PLEKHA4,cluster3
CRELD1,cluster3
ACVRL1,cluster3
TCF7L2,cluster3
FHL1,cluster3
AGRN,cluster3
OLR1,cluster3
EXTL2,cluster3
TLCD2,cluster3
DDHD1,cluster3
VAMP3,cluster3
GALNT12,cluster3
TSEN2,cluster3
PTGER4,cluster3
TGOLN2,cluster3
EFNB1,cluster3
RTN1,cluster3
BACE1,cluster3
TBC1D4,cluster3
SIGLEC11,cluster3
EIF2B3,cluster3
SNX7,cluster3
DAB2,cluster3
PBLD,cluster3
CTSO,cluster3
VGLL3,cluster3
FMNL2,cluster3
TNFRSF10B,cluster3
ULK2,cluster3
OAS2,cluster3
FIG4,cluster3
CDK20,cluster3
USP40,cluster3
FKBP9,cluster3
ALDH2,cluster3
CLCN4,cluster3
ZDHHC21,cluster3
SCPEP1,cluster3
FUCA1,cluster3
NALCN,cluster3
RDH11,cluster3
DNAJA1,cluster3
QDPR,cluster3
CA2,cluster3
GBP3,cluster3
HNMT,cluster3
CCDC28A,cluster3
RAB2B,cluster3
YIPF6,cluster3
ECHDC1,cluster3
NUDT9,cluster3
BNIP3L,cluster3
MAP2K1,cluster3
SEPT10,cluster3
DERL1,cluster3
SAMD9L,cluster3
IFIT3,cluster3
HERC5,cluster3
IFIT2,cluster3
STOM,cluster3
SPATA13,cluster3
YBX3,cluster3
LILRA5,cluster3
HUS1,cluster3
MAP1LC3C,cluster3
STAC3,cluster3
GYPC,cluster3
BTD,cluster3
CASP9,cluster3
SLC31A2,cluster3
CCDC50,cluster3
MS4A7,cluster3
BLVRA,cluster3
CAST,cluster3
EPHX1,cluster3
MR1,cluster3
KRT79,cluster3
ACOT4,cluster3
ZDHHC3,cluster3
PEX11A,cluster3
FARSB,cluster3
MYO6,cluster3
STK39,cluster3
ZNF365,cluster3
KAZALD1,cluster3
LY86,cluster3
CDC42EP3,cluster3
FUCA2,cluster3
NUDT6,cluster3
PNMAL2,cluster3
APOE,cluster3
MCEMP1,cluster3
PEBP1,cluster3
ACP5,cluster3
PIGT,cluster3
TMEM41A,cluster3
CARD16,cluster3
RGCC,cluster3
APH1B,cluster3
CCDC88A,cluster3
SOWAHC,cluster3
SMIM14,cluster3
WDR49,cluster3
ATP1B1,cluster3
MGAT3,cluster3
S100A13,cluster3
ALPK3,cluster3
CPE,cluster3
MPZL2,cluster3
AWAT2,cluster3
GABARAPL1,cluster3
FOLR3,cluster3
LMNA,cluster3
CD83,cluster3
RMDN3,cluster3
POR,cluster3
CSPG4,cluster3
GLB1,cluster3
SMYD2,cluster3
HEXA,cluster3
MARCO,cluster3
GAS2L1,cluster3
SMYD4,cluster3
ZMYND15,cluster3
RHOBTB2,cluster3
CABP4,cluster3
CTNNA1,cluster3
CACNB3,cluster3
SIGLEC1,cluster3
CD4,cluster3
IRF5,cluster3
HADHA,cluster3
DYNC1I2,cluster3
GALT,cluster3
VPS4A,cluster3
ZNF331,cluster3
ID3,cluster3
TRPM1,cluster3
SMCO4,cluster3
GBP4,cluster3
NFIX,cluster3
CES4A,cluster3
CD33,cluster3
CRTAP,cluster3
TOP1MT,cluster3
AP5B1,cluster3
DDX24,cluster3
TKFC,cluster3
CD99L2,cluster3
TRAF3IP2,cluster3
GOLGB1,cluster3
STAC,cluster3
SORBS3,cluster3
TXNDC11,cluster3
CAMSAP3,cluster3
FAM127C,cluster3
ACKR3,cluster3
SPATS2L,cluster3
DDO,cluster3
RSPH3,cluster3
LSAMP,cluster3
PPARG,cluster3
ABCG1,cluster3
TRIM14,cluster3
TGIF1,cluster3
