row,cluster
AOC1,cluster3
ICAM3,cluster3
TRAF3IP3,cluster3
PTPN7,cluster3
ADORA3_2,cluster3
LRMP,cluster3
TNFSF14,cluster3
TESC,cluster3
ADGRG5,cluster3
MPZL3,cluster3
STK17A,cluster3
P2RY10,cluster3
CAMK2G,cluster3
FAM65B,cluster3
ITGA2B,cluster3
DAPK2,cluster3
GAPT,cluster3
OXER1,cluster3
KIF21B,cluster3
DGKD,cluster3
DACH1,cluster3
SYTL1,cluster3
CYFIP2,cluster3
SEMA7A,cluster3
CD1C,cluster3
LGALS12,cluster3
TGFA,cluster3
FFAR3,cluster3
MMP12,cluster3
CD1A,cluster3
SEPT5,cluster3
CD1E,cluster3
ADAM28,cluster3
GPR82,cluster3
SLC18A2,cluster3
GFOD1,cluster3
SYNE1,cluster3
CD244,cluster3
ALOX15,cluster3
SLC24A3,cluster3
RAB44,cluster3
PRSS33,cluster3
PADI4,cluster3
CD24,cluster3
KCNH2,cluster3
TOX2,cluster3
ADGRG1,cluster3
GATA1,cluster3
RAB37,cluster3
SIGLEC8,cluster3
OLIG1,cluster3
PGLYRP1,cluster3
FAM101B,cluster3
CYP4F12,cluster3
B3GNT8,cluster3
PTGDR2,cluster3
GFI1B,cluster3
CLC,cluster3
CPLX2,cluster3
GATA2,cluster3
GIPR,cluster3
ADORA3_1,cluster3
EPN2,cluster3
PIP5K1B,cluster3
EFNB2,cluster3
PPP1R16B,cluster3
CISH,cluster3
PIM2,cluster3
HSH2D,cluster3
CCR3,cluster3
VSTM1,cluster3
CEBPE,cluster3
GGT5,cluster3
CHST15,cluster3
BTG2,cluster3
PIM1,cluster3
SYNE2,cluster3
FCER2,cluster3
TTC22,cluster3
ITM2A,cluster3
TREML2,cluster3
ADAM19,cluster3
MARCKSL1,cluster3
RUNX3,cluster3
KCNJ8,cluster3
SWAP70,cluster3
P2RY8,cluster3
SIAH2,cluster3
SLC16A14,cluster3
CD1B,cluster3
ADAM8,cluster3
SPNS3,cluster3
FAM102A,cluster3
RGL4,cluster3
ATP2A3,cluster3
XKR8,cluster3
FGD3,cluster3
LTC4S,cluster3
PIK3R6,cluster3
FFAR2,cluster3
OLFM2,cluster3
SOCS1,cluster3
R3HDM4,cluster3
C10orf54,cluster3
RASAL3,cluster3
ACAP1,cluster3
CORO1A,cluster3
LIMD2,cluster3
CD300LB,cluster3
CNKSR2,cluster3
CD209,cluster3
AMICA1,cluster3
SLCO3A1,cluster3
NCF1,cluster3
EPB41,cluster3
FRAT2,cluster3
DUS2,cluster3
CNR2,cluster3
SLC29A1,cluster3
LRRC17,cluster3
RAB11FIP4,cluster3
BHLHE40,cluster3
SNX20,cluster3
RNF216,cluster3
PIK3CD,cluster3
PLCB2,cluster3
FRAT1,cluster3
KLF2,cluster3
FAM43A,cluster3
CAMK1D,cluster3
NFE2,cluster3
TNFRSF12A,cluster3
TCN1,cluster3
SMPD3,cluster3
PLD4,cluster3
FAM101A,cluster3
PILRB,cluster3
CMTM8,cluster3
CDA,cluster3
P2RY2,cluster3
PHOSPHO1,cluster3
DENND3,cluster3
ZNF469,cluster3
GPR42,cluster3
TRERF1,cluster3
MMP25,cluster3
MBOAT7,cluster3
ITM2C,cluster3
IL6R,cluster3
PAK1,cluster3
CCND2,cluster3
BIK,cluster3
PDE4D,cluster3
YPEL3,cluster3
NBEAL2,cluster3
LINGO3,cluster3
MAP3K3,cluster3
ARL4C,cluster3
KDM4B,cluster3
HIP1,cluster3
NTNG2,cluster3
OLIG2,cluster3
AFF2,cluster3
MARCH8,cluster3
GRB10,cluster3
GAS2,cluster3
CCL17,cluster3
LFNG,cluster3
CCL22,cluster3
PIK3R1,cluster3
C9orf40,cluster3
SLCO4C1,cluster3
PYROXD2,cluster3
ZNF33A,cluster3
ADD3,cluster3
SLFN13,cluster3
CREB3L3,cluster3
NFATC2,cluster3
XYLT1,cluster3
SPNS2,cluster3
ADARB1,cluster3
SVIP,cluster3
GPR160,cluster3
CD69,cluster3
CSF2RB,cluster3
TRPM6,cluster3
PRDM1,cluster3
P2RY14,cluster3
CYLD,cluster3
TAF7,cluster3
CASS4,cluster3
RD3,cluster3
C21orf91,cluster3
TIAM2,cluster3
STARD10,cluster3
FBXL13,cluster3
TTC9,cluster3
